,group,subgroup,genus,species_strain,group_id,subgroup_id,genus_id,species_strain_id
GCF_001806325.1,Terrabacteria group,Actinobacteria,Curtobacterium,sp._BH-2-1-1,20,2,232,4297
GCF_001806345.1,Proteobacteria,Gammaproteobacteria,Acinetobacter,baumannii,16,25,20,579
GCF_001806365.1,Proteobacteria,Gammaproteobacteria,Acinetobacter,baumannii,16,25,20,579
GCF_001806385.1,Proteobacteria,Gammaproteobacteria,Acinetobacter,baumannii,16,25,20,579
GCF_001806405.1,Proteobacteria,Gammaproteobacteria,Acinetobacter,baumannii,16,25,20,579
GCF_001806425.1,Proteobacteria,Gammaproteobacteria,Acinetobacter,baumannii,16,25,20,579
GCF_001806445.1,Proteobacteria,Gammaproteobacteria,Acinetobacter,baumannii,16,25,20,579
GCF_001806465.1,Proteobacteria,Gammaproteobacteria,Acinetobacter,baumannii,16,25,20,579
GCF_001806485.1,Proteobacteria,Gammaproteobacteria,Acinetobacter,baumannii,16,25,20,579
GCF_001808185.1,Proteobacteria,Betaproteobacteria,Jeongeupia,sp._USM3,16,7,453,5007
GCF_001808235.1,Terrabacteria group,Firmicutes,Bacillus,subtilis,20,23,113,5207
GCF_001831375.1,Terrabacteria group,Firmicutes,Bacillus,sp._ABP14,20,23,113,4231
GCF_001831395.1,Proteobacteria,Betaproteobacteria,Bordetella,pertussis,16,7,136,3318
GCF_001831415.1,Proteobacteria,Betaproteobacteria,Bordetella,pertussis,16,7,136,3318
GCF_001831435.1,Proteobacteria,Betaproteobacteria,Bordetella,pertussis,16,7,136,3318
GCF_001831455.1,Proteobacteria,Betaproteobacteria,Bordetella,pertussis,16,7,136,3318
GCF_001831475.1,FCB group,Bacteroidetes/Chlorobi group,Flavobacterium,crassostreae,11,6,343,1178
GCF_001831495.1,Proteobacteria,Gammaproteobacteria,Thalassotalea,crassostreae,16,25,967,1178
GCF_001854065.1,Proteobacteria,Gammaproteobacteria,Psychrobacter,sp._AntiMn-1,16,25,783,4277
GCF_001854085.1,Terrabacteria group,Firmicutes,Clostridium,perfringens,20,23,207,3310
GCF_001854125.1,Proteobacteria,Gammaproteobacteria,Marinobacter,salinus,16,25,539,4002
GCF_001854145.2,Proteobacteria,Gammaproteobacteria,Xanthomonas,citri_pv._glycines_str._8ra,16,25,1046,987
GCF_001854165.1,Proteobacteria,Gammaproteobacteria,Xanthomonas,campestris_pv._vesicatoria_str._85-10,16,25,1046,789
GCF_001854185.1,Terrabacteria group,Firmicutes,Clostridium,formicaceticum,20,23,207,1855
GCF_001854245.1,Proteobacteria,delta/epsilon subdivisions,Desulfococcus,multivorans,16,43,266,2961
GCF_001854285.1,Proteobacteria,Betaproteobacteria,Cupriavidus,sp._USMAHM13,16,7,231,5009
GCF_001854305.1,Proteobacteria,Betaproteobacteria,Cupriavidus,sp._USMAA2-4,16,7,231,5008
GCF_001854325.1,Proteobacteria,Betaproteobacteria,Cupriavidus,malaysiensis,16,7,231,2626
GCF_001854345.1,Terrabacteria group,Firmicutes,Bacillus,velezensis,20,23,113,5693
GCF_001854365.1,Terrabacteria group,Actinobacteria,Arthrobacter,sp._ZXY-2,20,2,95,5100
GCF_001854385.1,Proteobacteria,Alphaproteobacteria,Methylobacterium,sp._C1,16,3,564,4326
GCF_001854405.1,Proteobacteria,Alphaproteobacteria,Hyphomonas,sp._Mor2,16,3,437,4712
GCF_001854425.1,Proteobacteria,Gammaproteobacteria,Vibrio,cholerae,16,25,1031,946
GCF_001855255.1,Terrabacteria group,Actinobacteria,Mycobacterium,tuberculosis,20,2,613,5544
GCF_001855275.1,Proteobacteria,Betaproteobacteria,Chromobacterium,vaccinii,16,7,196,5662
GCF_001855295.1,Proteobacteria,Alphaproteobacteria,Ketogulonicigenium,vulgare,16,3,459,5759
GCF_001855315.1,Proteobacteria,Gammaproteobacteria,Klebsiella,pneumoniae,16,25,465,3454
GCF_001855335.1,Terrabacteria group,Actinobacteria,Acidipropionibacterium,acidipropionici,20,2,14,47
GCF_001855705.1,Terrabacteria group,Firmicutes,Streptococcus,thermophilus,20,23,921,5399
GCF_001856645.1,Terrabacteria group,Firmicutes,Clostridium,pasteurianum_DSM_525_=_ATCC_6013,20,23,207,3268
GCF_001856665.1,Proteobacteria,Alphaproteobacteria,Rhodobacter,sp._LPB0142,16,3,802,4620
GCF_001856685.1,Terrabacteria group,Actinobacteria,Actinomyces,tangfeifanii,20,2,25,5324
GCF_001856695.1,Terrabacteria group,Firmicutes,Clostridium,pasteurianum,20,23,207,3266
GCF_001856725.1,Proteobacteria,Gammaproteobacteria,Haemophilus,influenzae,16,25,397,2285
GCF_001857925.1,Terrabacteria group,Firmicutes,Bacillus,xiamenensis,20,23,113,5805
GCF_001857945.1,Terrabacteria group,Firmicutes,Paenibacillus,crassostreae,20,23,683,1178
GCF_001857965.1,FCB group,Bacteroidetes/Chlorobi group,Flavobacterium,commune,11,6,343,1150
GCF_001857985.1,Terrabacteria group,Firmicutes,Bacillus,velezensis,20,23,113,5693
GCF_001858005.1,Terrabacteria group,Firmicutes,Butyrivibrio,hungatei,20,23,156,2205
GCF_001860505.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001865295.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001865395.1,Proteobacteria,delta/epsilon subdivisions,Campylobacter,jejuni,16,43,165,2369
GCF_001865415.1,Proteobacteria,delta/epsilon subdivisions,Campylobacter,jejuni,16,43,165,2369
GCF_001865435.1,Proteobacteria,delta/epsilon subdivisions,Campylobacter,jejuni,16,43,165,2369
GCF_001865455.1,Proteobacteria,delta/epsilon subdivisions,Campylobacter,coli,16,43,165,1027
GCF_001865475.1,Proteobacteria,delta/epsilon subdivisions,Campylobacter,coli,16,43,165,1027
GCF_001865495.1,Proteobacteria,delta/epsilon subdivisions,Campylobacter,coli,16,43,165,1027
GCF_001865515.1,Proteobacteria,delta/epsilon subdivisions,Campylobacter,coli,16,43,165,1027
GCF_001865535.1,Proteobacteria,delta/epsilon subdivisions,Campylobacter,coli,16,43,165,1027
GCF_001865555.1,Proteobacteria,delta/epsilon subdivisions,Campylobacter,coli,16,43,165,1027
GCF_001865575.1,Proteobacteria,Betaproteobacteria,Paraburkholderia,sprentiae_WSM5005,16,7,692,5158
GCF_001865595.1,Proteobacteria,delta/epsilon subdivisions,Campylobacter,jejuni_subsp._jejuni_M129,16,43,165,2384
GCF_001865635.2,Terrabacteria group,Actinobacteria,Mycobacterium,avium_subsp._hominissuis,20,2,613,531
GCF_001865655.1,FCB group,Bacteroidetes/Chlorobi group,Maribacter,sp._1_2014MBL_MicDiv,11,6,532,4179
GCF_001865675.1,Proteobacteria,Betaproteobacteria,Janthinobacterium,sp._1_2014MBL_MicDiv,16,7,452,4179
GCF_001865695.1,Proteobacteria,Gammaproteobacteria,Francisella,tularensis_subsp._novicida_PA10-7858,16,25,348,5592
GCF_001865765.1,Terrabacteria group,Actinobacteria,Corynebacterium,pseudotuberculosis,20,2,222,3670
GCF_001865835.1,FCB group,Bacteroidetes/Chlorobi group,Myroides,sp._ZB35,11,6,618,5096
GCF_001865855.1,Terrabacteria group,Actinobacteria,Nocardia,seriolae,20,2,643,4070
GCF_001866535.2,Proteobacteria,Gammaproteobacteria,Raoultella,ornithinolytica,16,25,792,3148
GCF_001866985.1,Terrabacteria group,Actinobacteria,Corynebacterium,pseudotuberculosis,20,2,222,3670
GCF_001867005.1,Terrabacteria group,Actinobacteria,Corynebacterium,pseudotuberculosis,20,2,222,3670
GCF_001867025.1,Terrabacteria group,Actinobacteria,Corynebacterium,pseudotuberculosis,20,2,222,3670
GCF_001867045.1,Terrabacteria group,Actinobacteria,Corynebacterium,pseudotuberculosis,20,2,222,3670
GCF_001867065.1,Terrabacteria group,Actinobacteria,Corynebacterium,pseudotuberculosis,20,2,222,3670
GCF_001867085.1,Terrabacteria group,Actinobacteria,Corynebacterium,pseudotuberculosis,20,2,222,3670
GCF_001867105.1,Terrabacteria group,Actinobacteria,Corynebacterium,pseudotuberculosis,20,2,222,3670
GCF_001867125.1,Terrabacteria group,Actinobacteria,Corynebacterium,pseudotuberculosis,20,2,222,3670
GCF_001867145.1,Terrabacteria group,Actinobacteria,Corynebacterium,pseudotuberculosis,20,2,222,3670
GCF_001867165.1,Terrabacteria group,Actinobacteria,Corynebacterium,pseudotuberculosis,20,2,222,3670
GCF_001870065.1,Terrabacteria group,Firmicutes,Bacillus,coagulans,20,23,113,1018
GCF_001870085.1,Proteobacteria,delta/epsilon subdivisions,Campylobacter,jejuni,16,43,165,2369
GCF_001870105.1,Proteobacteria,delta/epsilon subdivisions,Campylobacter,jejuni,16,43,165,2369
GCF_001870145.1,Terrabacteria group,Actinobacteria,Mycobacterium,tuberculosis,20,2,613,5544
GCF_001870165.1,Proteobacteria,Gammaproteobacteria,Klebsiella,pneumoniae,16,25,465,3454
GCF_001870185.1,Proteobacteria,Gammaproteobacteria,Klebsiella,oxytoca,16,25,465,3180
GCF_001870205.1,Terrabacteria group,Firmicutes,Vagococcus,teuberi,20,23,1024,5357
GCF_001870265.1,Proteobacteria,Gammaproteobacteria,Pseudomonas,aeruginosa,16,25,776,97
GCF_001870665.2,Proteobacteria,Alphaproteobacteria,Rhodobaca,barguzinensis,16,3,801,576
GCF_001874125.1,Terrabacteria group,Firmicutes,Lactobacillus,plantarum,20,23,487,3424
GCF_001874385.1,Terrabacteria group,Firmicutes,Bacillus,amyloliquefaciens,20,23,113,254
GCF_001874405.2,Terrabacteria group,Firmicutes,Paenibacillus,polymyxa,20,23,683,3547
GCF_001874425.3,Terrabacteria group,Firmicutes,Paenibacillus,polymyxa,20,23,683,3547
GCF_001874445.1,Proteobacteria,Gammaproteobacteria,Pasteurella,multocida,16,25,709,2966
GCF_001874465.1,Proteobacteria,Gammaproteobacteria,Pseudomonas,aeruginosa,16,25,776,97
GCF_001874485.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli_O25b:H4,16,25,316,1107
GCF_900322725.1,Proteobacteria,Gammaproteobacteria,Enterobacter,cloacae_complex_sp.,16,25,307,1011
GCF_001874505.1,Proteobacteria,Gammaproteobacteria,Enterobacter,hormaechei,16,25,307,2188
GCF_001874545.1,Proteobacteria,Betaproteobacteria,Polynucleobacter,asymbioticus,16,7,752,433
GCF_001874565.1,Proteobacteria,Betaproteobacteria,Polynucleobacter,asymbioticus,16,7,752,433
GCF_001874585.1,Proteobacteria,Betaproteobacteria,Polynucleobacter,asymbioticus,16,7,752,433
GCF_001874605.1,Terrabacteria group,Firmicutes,Moorella,thermoacetica,20,23,601,5375
GCF_001874625.1,Proteobacteria,Gammaproteobacteria,Providencia,rettgeri,16,25,767,3883
GCF_001874645.1,Proteobacteria,Gammaproteobacteria,Pseudomonas,frederiksbergensis,16,25,776,1877
GCF_001877035.1,Terrabacteria group,Firmicutes,Clostridium,estertheticum_subsp._estertheticum,20,23,207,1716
GCF_001877055.1,Terrabacteria group,Actinobacteria,Nocardiopsis,dassonvillei,20,2,645,1241
GCF_001878675.1,Terrabacteria group,Firmicutes,Virgibacillus,halodenitrificans,20,23,1032,2104
GCF_001878735.1,Terrabacteria group,Firmicutes,Enterococcus,faecalis,20,23,309,1740
GCF_001879525.1,Proteobacteria,Gammaproteobacteria,Pseudomonas,aeruginosa,16,25,776,97
GCF_001879545.1,Terrabacteria group,Firmicutes,Staphylococcus,aureus,20,23,912,459
GCF_001879565.1,Proteobacteria,Betaproteobacteria,Ralstonia,solanacearum_OE1-1,16,7,790,4112
GCF_001879585.1,Proteobacteria,Gammaproteobacteria,Vibrio,parahaemolyticus,16,25,1031,3223
GCF_001879605.1,Terrabacteria group,Firmicutes,Clostridium,botulinum,20,23,207,659
GCF_001879625.1,Terrabacteria group,Firmicutes,Clostridium,botulinum,20,23,207,659
GCF_001879645.1,Proteobacteria,Gammaproteobacteria,Francisella,sp._MA067296,16,25,348,4657
GCF_001880185.2,Terrabacteria group,Firmicutes,Lactobacillus,plantarum,20,23,487,3424
GCF_001880205.1,Proteobacteria,Gammaproteobacteria,Francisella,tularensis_subsp._novicida,16,25,348,5589
GCF_001880225.1,Proteobacteria,Gammaproteobacteria,Francisella,frigiditurris,16,25,348,1898
GCF_001880245.1,Proteobacteria,Gammaproteobacteria,Francisella,tularensis_subsp._novicida,16,25,348,5589
GCF_001880265.1,Terrabacteria group,Firmicutes,Staphylococcus,aureus,20,23,912,459
GCF_001880305.1,Terrabacteria group,Firmicutes,Bacillus,cereus,20,23,113,883
GCF_001880325.1,Terrabacteria group,Deinococcus-Thermus,Thermus,brockianus,20,18,995,717
GCF_001885145.1,Terrabacteria group,Firmicutes,Streptococcus,iniae,20,23,921,2302
GCF_001885175.1,PVC group,Chlamydiae,Chlamydia,trachomatis,15,11,187,5466
GCF_001885195.1,Proteobacteria,Betaproteobacteria,Burkholderia,pseudomallei,16,7,153,3629
GCF_001885215.1,Terrabacteria group,Cyanobacteria/Melainabacteria group,Synechococcus,sp._SynAce01,20,15,942,4970
GCF_001885235.1,Proteobacteria,Gammaproteobacteria,Francisella,hispaniensis_FSC454,16,25,348,2165
GCF_001885255.2,Proteobacteria,Gammaproteobacteria,Klebsiella,pneumoniae,16,25,465,3454
GCF_001885275.1,Proteobacteria,Gammaproteobacteria,Francisella,noatunensis_subsp._orientalis,16,25,348,3065
GCF_001886355.1,Terrabacteria group,Actinobacteria,Rhodococcus,sp._2G,20,2,803,4193
GCF_001886395.1,Proteobacteria,Gammaproteobacteria,Alteromonas,mediterranea,16,25,61,2717
GCF_001886415.1,Proteobacteria,Gammaproteobacteria,Alteromonas,mediterranea,16,25,61,2717
GCF_001886435.1,Proteobacteria,Gammaproteobacteria,Alteromonas,mediterranea,16,25,61,2717
GCF_001886455.1,Proteobacteria,Gammaproteobacteria,Alteromonas,mediterranea,16,25,61,2717
GCF_001886475.1,Proteobacteria,Gammaproteobacteria,Alteromonas,sp._RW2A1,16,25,61,4896
GCF_001886495.1,Terrabacteria group,Tenericutes,Spiroplasma,sp._NBRC_100390,20,36,905,4726
GCF_001886515.1,Terrabacteria group,Actinobacteria,Mycobacterium,sp._WY10,20,2,613,5046
GCF_001886535.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001886555.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001886575.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001886595.1,Terrabacteria group,Actinobacteria,Streptomyces,venezuelae,20,2,923,5706
GCF_001886615.1,Proteobacteria,Gammaproteobacteria,Halomonas,aestuarii,16,25,411,127
GCF_001886635.1,Terrabacteria group,Firmicutes,Enterococcus,faecium,20,23,309,1749
GCF_001886655.1,Proteobacteria,Betaproteobacteria,Delftia,sp._HK171,16,7,251,4506
GCF_001886675.1,Terrabacteria group,Firmicutes,Enterococcus,faecalis,20,23,309,1740
GCF_001886695.1,Proteobacteria,Alphaproteobacteria,Erythrobacter,gangjinensis,16,3,315,1947
GCF_001886715.1,Terrabacteria group,Actinobacteria,Nocardia,mangyaensis,20,2,643,2645
GCF_001886735.1,Proteobacteria,Alphaproteobacteria,Sulfitobacter,sp._AM1-D1,16,3,926,4249
GCF_001886755.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001886775.1,Terrabacteria group,Firmicutes,Clostridium,botulinum,20,23,207,659
GCF_001886795.1,Proteobacteria,Gammaproteobacteria,Legionella,pneumophila_subsp._fraseri,16,25,496,3531
GCF_001886815.1,Calditrichaeota,Calditrichae,Caldithrix,abyssi_DSM_13497,4,10,163,22
GCF_001886835.1,Proteobacteria,Gammaproteobacteria,Legionella,pneumophila_subsp._fraseri,16,25,496,3531
GCF_001886855.1,Terrabacteria group,Tenericutes,Spiroplasma,citri,20,36,905,981
GCF_001886875.1,Terrabacteria group,Firmicutes,Clostridium,butyricum,20,23,207,747
GCF_001886895.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001886915.1,Terrabacteria group,Firmicutes,Leuconostoc,mesenteroides_subsp._jonggajibkimchii,20,23,509,2793
GCF_001886935.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001886975.1,Proteobacteria,Gammaproteobacteria,Pseudomonas,putida,16,25,776,3730
GCF_001887015.1,Proteobacteria,Gammaproteobacteria,Salmonella,enterica_subsp._enterica_serovar_Typhimurium,16,25,856,1628
GCF_001887055.1,Proteobacteria,Gammaproteobacteria,Vibrio,parahaemolyticus,16,25,1031,3223
GCF_001887075.1,Terrabacteria group,Firmicutes,Staphylococcus,aureus_subsp._aureus,20,23,912,466
GCF_001887245.1,Terrabacteria group,Actinobacteria,Neomicrococcus,aestuarii,20,2,627,127
GCF_001887265.1,Proteobacteria,Alphaproteobacteria,Chelatococcus,daeguensis,16,3,185,1233
GCF_001887285.1,Terrabacteria group,Actinobacteria,Microbacterium,paludicola,20,2,583,3193
GCF_001887305.1,Proteobacteria,Gammaproteobacteria,Acinetobacter,baumannii,16,25,20,579
GCF_001887395.1,Proteobacteria,Gammaproteobacteria,Vibrio,cholerae,16,25,1031,946
GCF_001887415.1,Proteobacteria,Gammaproteobacteria,Vibrio,cholerae,16,25,1031,946
GCF_001887435.1,Proteobacteria,Gammaproteobacteria,Vibrio,cholerae,16,25,1031,946
GCF_001887455.1,Proteobacteria,Gammaproteobacteria,Vibrio,cholerae,16,25,1031,946
GCF_001887475.1,Proteobacteria,Gammaproteobacteria,Vibrio,cholerae,16,25,1031,946
GCF_001887495.1,Proteobacteria,Gammaproteobacteria,Vibrio,cholerae,16,25,1031,946
GCF_001887515.1,Proteobacteria,Gammaproteobacteria,Vibrio,cholerae,16,25,1031,946
GCF_001887535.1,Proteobacteria,Betaproteobacteria,Ralstonia,solanacearum_FJAT-1458,16,7,790,4109
GCF_001887555.1,Proteobacteria,Betaproteobacteria,Burkholderia,pseudomallei,16,7,153,3629
GCF_001887575.1,Proteobacteria,Betaproteobacteria,Burkholderia,pseudomallei,16,7,153,3629
GCF_001887595.1,Proteobacteria,Gammaproteobacteria,Luteibacter,rhizovicinus_DSM_16549,16,25,518,3908
GCF_001887615.1,Proteobacteria,Gammaproteobacteria,Vibrio,cholerae,16,25,1031,946
GCF_001887635.1,Proteobacteria,Gammaproteobacteria,Vibrio,cholerae,16,25,1031,946
GCF_001887655.1,Proteobacteria,Gammaproteobacteria,Vibrio,cholerae,16,25,1031,946
GCF_001887675.1,Proteobacteria,Gammaproteobacteria,Kosakonia,radicincitans,16,25,470,3859
GCF_001887695.1,Proteobacteria,Alphaproteobacteria,Bradyrhizobium,japonicum,16,3,143,2359
GCF_001887775.1,Proteobacteria,delta/epsilon subdivisions,Pelobacter,sp._SFB93,16,43,716,4927
GCF_001887985.3,Proteobacteria,Gammaproteobacteria,Klebsiella,pneumoniae,16,25,465,3454
GCF_001887995.2,Proteobacteria,Gammaproteobacteria,Klebsiella,pneumoniae,16,25,465,3454
GCF_001888075.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001888165.1,Proteobacteria,delta/epsilon subdivisions,Pelobacter,acetylenicus,16,43,716,35
GCF_001888185.1,Proteobacteria,Alphaproteobacteria,Phaeobacter,porticola,16,3,726,3563
GCF_001888205.1,Proteobacteria,Gammaproteobacteria,Providencia,stuartii,16,25,767,5191
GCF_001888805.2,Proteobacteria,Gammaproteobacteria,Enterobacter,sp._SA187,16,25,307,4912
GCF_001888905.1,Terrabacteria group,Firmicutes,Lactobacillus,delbrueckii_subsp._lactis,20,23,487,1258
GCF_001888925.1,Terrabacteria group,Firmicutes,Lactobacillus,delbrueckii_subsp._jakobsenii_ZN7a-9_=_DSM_26046,20,23,487,1257
GCF_001888945.1,Terrabacteria group,Firmicutes,Lactobacillus,delbrueckii_subsp._delbrueckii,20,23,487,1255
GCF_001888965.1,Terrabacteria group,Firmicutes,Lactobacillus,delbrueckii_subsp._sunkii,20,23,487,1260
GCF_001888985.1,Terrabacteria group,Firmicutes,Lactobacillus,delbrueckii_subsp._lactis,20,23,487,1258
GCF_001889005.1,FCB group,Bacteroidetes/Chlorobi group,Gramella,salexigens,11,6,388,3996
GCF_900327255.1,Proteobacteria,Alphaproteobacteria,Orientia,tsutsugamushi,16,3,672,5540
GCF_001889025.1,Proteobacteria,Alphaproteobacteria,Sphingopyxis,sp._LPB0140,16,3,900,4619
GCF_001889045.1,FCB group,Bacteroidetes/Chlorobi group,Tenacibaculum,todarodis,11,6,957,5461
GCF_001889105.1,Proteobacteria,Alphaproteobacteria,Sinorhizobium,americanum,16,3,886,238
GCF_001889125.1,Terrabacteria group,Actinobacteria,Janibacter,indicus,20,2,450,2275
GCF_001889145.1,Terrabacteria group,Actinobacteria,Corynebacterium,pseudotuberculosis,20,2,222,3670
GCF_001889165.1,Terrabacteria group,Firmicutes,Bacillus,weihaiensis,20,23,113,5783
GCF_001889265.1,Terrabacteria group,Actinobacteria,Microbacterium,sp._1.5R,20,2,583,4149
GCF_001889285.1,Terrabacteria group,Firmicutes,Bacillus,amyloliquefaciens,20,23,113,254
GCF_001889305.1,Terrabacteria group,Chloroflexi,Dehalococcoides,mccartyi,20,12,248,2700
GCF_001889325.1,Terrabacteria group,Firmicutes,Clostridium,botulinum,20,23,207,659
GCF_001889345.1,Terrabacteria group,Firmicutes,Clostridium,botulinum,20,23,207,659
GCF_001889365.1,Terrabacteria group,Firmicutes,Clostridium,botulinum,20,23,207,659
GCF_001889385.1,Terrabacteria group,Firmicutes,Bacillus,subtilis,20,23,113,5207
GCF_001889445.1,Proteobacteria,Alphaproteobacteria,Granulibacter,bethesdensis,16,3,389,613
GCF_001889465.1,Proteobacteria,Alphaproteobacteria,Granulibacter,bethesdensis,16,3,389,613
GCF_001889485.1,Proteobacteria,Alphaproteobacteria,Granulibacter,bethesdensis,16,3,389,613
GCF_001889505.1,Proteobacteria,Alphaproteobacteria,Granulibacter,bethesdensis,16,3,389,613
GCF_001889525.1,Proteobacteria,Alphaproteobacteria,Granulibacter,bethesdensis,16,3,389,613
GCF_001889545.1,Proteobacteria,Alphaproteobacteria,Granulibacter,bethesdensis,16,3,389,613
GCF_001889605.1,Proteobacteria,Alphaproteobacteria,Mesorhizobium,oceanicum,16,3,558,3099
GCF_001889625.1,Terrabacteria group,Firmicutes,Bacillus,subtilis,20,23,113,5207
GCF_001890165.1,Proteobacteria,Gammaproteobacteria,Salmonella,enterica_subsp._enterica_serovar_Newport,16,25,856,1566
GCF_001890185.1,Proteobacteria,Gammaproteobacteria,Salmonella,enterica_subsp._enterica_serovar_Newport,16,25,856,1566
GCF_001890205.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001890225.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001890245.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001890265.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001890285.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001890305.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001890325.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001890345.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001890365.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001890385.1,Proteobacteria,Alphaproteobacteria,Tardibacter,chloracetimidivorans,16,3,952,932
GCF_001890405.1,Terrabacteria group,Firmicutes,Bacillus,subtilis,20,23,113,5207
GCF_001890425.1,Proteobacteria,Alphaproteobacteria,Rhizobium,leguminosarum,16,3,798,2514
GCF_001890445.1,Proteobacteria,Gammaproteobacteria,Salmonella,enterica_subsp._enterica_serovar_Newport,16,25,856,1566
GCF_001891105.1,Proteobacteria,Betaproteobacteria,Ralstonia,solanacearum,16,7,790,4108
GCF_001891125.1,Terrabacteria group,Firmicutes,Leuconostoc,suionicum,20,23,509,5240
GCF_001895265.1,Proteobacteria,Gammaproteobacteria,Francisella,uliginis,16,25,348,5638
GCF_001895285.1,Terrabacteria group,Firmicutes,Marinilactibacillus,sp._15R,20,23,536,4167
GCF_001895305.1,Terrabacteria group,Firmicutes,Virgibacillus,sp._6R,20,23,1032,4214
GCF_001895765.1,Terrabacteria group,Actinobacteria,Mycobacterium,tuberculosis,20,2,613,5544
GCF_001895785.1,Terrabacteria group,Actinobacteria,Mycobacterium,tuberculosis,20,2,613,5544
GCF_001895805.1,Terrabacteria group,Actinobacteria,Mycobacterium,tuberculosis,20,2,613,5544
GCF_001895825.1,Terrabacteria group,Actinobacteria,Mycobacterium,tuberculosis,20,2,613,5544
GCF_001895845.1,Terrabacteria group,Actinobacteria,Mycobacterium,tuberculosis,20,2,613,5544
GCF_001895865.1,Terrabacteria group,Actinobacteria,Mycobacterium,tuberculosis,20,2,613,5544
GCF_001895885.1,Terrabacteria group,Firmicutes,Bacillus,safensis,20,23,113,3983
GCF_001895905.1,Terrabacteria group,Firmicutes,Enterococcus,faecium,20,23,309,1749
GCF_001895965.1,Proteobacteria,Gammaproteobacteria,Aeromonas,hydrophila,16,25,36,2215
GCF_001895985.1,Proteobacteria,Gammaproteobacteria,Acinetobacter,baumannii,16,25,20,579
GCF_001896005.1,Proteobacteria,Gammaproteobacteria,Acinetobacter,baumannii,16,25,20,579
GCF_001896025.1,Terrabacteria group,Firmicutes,Bacillus,sp._H15-1,20,23,113,4488
GCF_001896045.1,Terrabacteria group,Firmicutes,Streptococcus,pneumoniae,20,23,921,3454
GCF_001896065.1,Terrabacteria group,Firmicutes,Streptococcus,pneumoniae,20,23,921,3454
GCF_001896085.1,Terrabacteria group,Firmicutes,Streptococcus,pneumoniae,20,23,921,3454
GCF_001900185.1,Terrabacteria group,Firmicutes,Staphylococcus,aureus_subsp._aureus,20,23,912,466
GCF_001900195.1,Proteobacteria,Gammaproteobacteria,Pseudomonas,aeruginosa,16,25,776,97
GCF_001900225.1,Proteobacteria,Gammaproteobacteria,Pseudomonas,aeruginosa,16,25,776,97
GCF_001900245.1,Terrabacteria group,Tenericutes,Mycoplasma,pullorum,20,36,617,3718
GCF_001900265.1,Proteobacteria,Gammaproteobacteria,Pseudomonas,aeruginosa,16,25,776,97
GCF_001900295.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001900315.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001900335.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001900355.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001900375.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001900395.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001900415.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001900435.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001900455.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001900475.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001900495.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001900515.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001900535.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
GCF_001900555.1,Proteobacteria,Gammaproteobacteria,Escherichia,coli,16,25,316,1027
